Year,Month,Day,Hour,Week,Tapioca Pearls (Boba),Lychee Jelly,Aloe Vera Bits,Grass Jelly,Fresh Milk,Red Beans,Cups (Regular),Straws (Regular),Straws (Jumbo),Napkins (Regular),To-Go Bags (Small),Lids (Dome),Lids (Flat),Condiment Station Supplies,Taro,Matcha,Brown Sugar,Black Sugar,Strawberry Milk Cream,Mango Milk Cream,Sago,Crystal Jelly,Jasmine Green Tea Leaves,Passion Fruit Tea Leaves,Oolong Tea Leaves
2024,6,1,0,1,3,8,6,3,14,2,35,32,3,35,35,4,31,18,1,8,2,9,4,5,5,5,2,4,6
2024,6,1,1,1,5,2,3,2,15,3,34,29,5,34,34,4,30,20,3,9,2,8,4,4,4,4,6,1,3
2024,6,1,2,1,2,4,5,6,12,5,32,30,2,32,32,4,28,19,1,7,1,8,4,2,2,2,4,2,5
2024,6,1,3,1,5,12,1,3,11,5,28,23,5,28,28,1,27,16,2,7,3,5,1,4,4,4,1,6,1
2024,6,1,4,1,8,12,4,6,9,2,39,31,8,39,39,1,38,19,4,4,4,8,1,4,4,4,6,6,4
2024,6,1,5,1,8,2,2,2,10,4,29,21,8,29,29,1,28,17,5,6,3,4,1,6,6,6,3,1,2
2024,6,1,6,1,4,10,6,2,17,6,44,40,4,44,44,5,39,22,3,11,1,7,5,6,6,6,5,5,6
2024,6,1,7,1,5,2,2,4,11,1,25,20,5,25,25,1,24,17,2,7,3,10,1,4,4,4,1,1,2
2024,6,1,8,1,8,2,3,4,17,6,32,24,8,32,32,1,31,23,2,10,6,8,1,4,4,4,1,1,3
2024,6,1,9,1,10,12,3,1,14,1,37,27,10,37,37,5,32,21,6,5,4,5,5,5,5,5,2,6,3
2024,6,1,10,1,6,12,1,2,10,1,32,26,6,32,32,2,30,15,3,5,3,6,2,6,6,6,4,6,1
2024,6,1,11,1,10,4,3,6,10,3,31,21,10,31,31,2,29,22,6,4,4,7,2,1,1,1,3,2,3
2024,6,2,0,1,4,6,5,6,17,6,40,36,4,40,40,3,37,25,2,12,2,12,3,4,4,4,3,3,5
2024,6,2,1,1,9,10,2,2,14,4,28,19,9,28,28,1,27,19,3,7,6,5,1,1,1,1,1,5,2
2024,6,2,2,1,6,8,1,6,16,5,42,36,6,42,42,6,36,27,5,9,1,10,6,4,4,4,6,4,1
2024,6,2,3,1,8,4,4,5,15,5,37,29,8,37,37,1,36,23,3,9,5,9,1,2,2,2,6,2,4
2024,6,2,4,1,7,4,3,2,13,5,31,24,7,31,31,1,30,20,5,10,2,7,1,2,2,2,4,2,3
2024,6,2,5,1,5,10,1,5,20,6,38,33,5,38,38,5,33,26,1,11,4,10,5,3,3,3,3,5,1
2024,6,2,6,1,6,12,4,1,10,1,30,24,6,30,30,3,27,16,5,6,1,6,3,2,2,2,2,6,4
2024,6,2,7,1,7,10,5,3,14,2,40,33,7,40,40,2,38,19,2,7,5,8,2,5,5,5,6,5,5
2024,6,2,8,1,5,4,5,3,12,5,28,23,5,28,28,1,27,16,1,7,4,5,1,2,2,2,3,2,5
2024,6,2,9,1,6,4,5,2,14,4,36,30,6,36,36,5,31,19,3,6,3,4,5,6,6,6,4,2,5
2024,6,2,10,1,5,8,6,2,15,3,33,28,5,33,33,4,29,19,2,8,3,7,4,3,3,3,1,4,6
2024,6,2,11,1,5,2,1,1,18,4,31,26,5,31,31,6,25,21,2,9,3,6,6,4,4,4,4,1,1
2024,6,3,0,1,3,10,4,2,15,3,38,35,3,38,38,6,32,18,1,7,2,6,6,6,6,6,5,5,4
2024,6,3,1,1,6,12,6,5,9,2,31,25,6,31,31,3,28,17,3,3,3,6,3,1,1,1,1,6,6
2024,6,3,2,1,2,2,4,2,11,1,27,25,2,27,27,3,24,14,1,7,1,8,3,5,5,5,3,1,4
2024,6,3,3,1,10,6,1,4,19,3,39,29,10,39,39,6,33,29,6,9,4,10,6,1,1,1,5,3,1
2024,6,3,4,1,6,4,4,3,12,3,31,25,6,31,31,2,29,17,2,6,4,6,2,3,3,3,5,2,4
2024,6,3,5,1,7,12,5,5,11,1,39,32,7,39,39,3,36,19,3,4,4,8,3,3,3,3,6,6,5
2024,6,3,6,1,7,2,1,5,10,1,30,23,7,30,30,3,27,19,4,4,3,8,3,4,4,4,5,1,1
2024,6,3,7,1,11,6,2,5,16,2,42,31,11,42,42,5,37,27,6,6,5,9,5,4,4,4,6,3,2
2024,6,3,8,1,11,4,6,6,15,4,44,33,11,44,44,3,41,27,6,7,5,9,3,4,4,4,5,2,6
2024,6,3,9,1,8,6,1,4,15,2,33,25,8,33,33,4,29,22,3,6,5,8,4,2,2,2,5,3,1
2024,6,3,10,1,6,2,6,2,17,6,34,28,6,34,34,3,31,22,3,11,3,7,3,2,2,2,3,1,6
2024,6,3,11,1,2,2,6,4,16,6,36,34,2,36,36,4,32,21,1,11,1,9,4,5,5,5,3,1,6
2024,6,4,0,1,4,10,4,2,15,6,36,32,4,36,36,6,30,20,3,8,1,4,6,2,2,2,5,5,4
2024,6,4,1,1,6,12,2,5,15,3,35,29,6,35,35,5,30,21,1,5,5,7,5,3,3,3,3,6,2
2024,6,4,2,1,4,12,4,2,18,6,42,38,4,42,42,5,37,21,1,10,3,6,5,6,6,6,5,6,4
2024,6,4,3,1,4,6,2,1,13,3,29,25,4,29,29,5,24,16,2,6,2,4,5,5,5,5,3,3,2
2024,6,4,4,1,4,2,6,2,8,1,29,25,4,29,29,3,26,12,2,3,2,4,3,4,4,4,6,1,6
2024,6,4,5,1,7,6,6,3,17,6,43,36,7,43,43,3,40,24,4,11,3,8,3,4,4,4,6,3,6
2024,6,4,6,1,5,8,6,1,18,5,39,34,5,39,39,4,35,20,1,10,4,6,4,6,6,6,3,4,6
2024,6,4,7,1,8,10,4,2,15,5,36,28,8,36,36,5,31,21,4,6,4,3,5,5,5,5,1,5,4
2024,6,4,8,1,6,10,3,4,11,3,33,27,6,33,33,2,31,17,2,5,4,6,2,6,6,6,2,5,3
2024,6,4,9,1,9,8,6,4,17,4,43,34,9,43,43,1,42,24,3,10,6,10,1,4,4,4,5,4,6
2024,6,4,10,1,8,6,6,2,11,1,36,28,8,36,36,3,33,17,4,4,4,5,3,5,5,5,5,3,6
2024,6,4,11,1,9,10,5,1,19,5,45,36,9,45,45,4,41,24,4,10,5,6,4,6,6,6,5,5,5
2024,6,5,0,1,5,4,2,1,17,5,37,32,5,37,37,6,31,22,4,10,1,6,6,6,6,6,5,2,2
2024,6,5,1,1,7,4,5,4,21,6,40,33,7,40,40,6,34,27,2,10,5,8,6,2,2,2,4,2,5
2024,6,5,2,1,6,12,1,5,10,2,37,31,6,37,37,5,32,20,5,4,1,7,5,6,6,6,4,6,1
2024,6,5,3,1,9,8,2,5,16,4,41,32,9,41,41,1,40,25,4,10,5,11,1,5,5,5,5,4,2
2024,6,5,4,1,12,4,5,3,17,3,39,27,12,39,39,2,37,26,6,9,6,9,2,2,2,2,4,2,5
2024,6,5,5,1,5,10,5,3,14,4,33,28,5,33,33,5,28,19,2,6,3,5,5,3,3,3,1,5,5
2024,6,5,6,1,3,10,5,3,8,3,29,26,3,29,29,1,28,12,1,5,2,5,1,1,1,1,6,5,5
2024,6,5,7,1,12,4,6,1,19,6,38,26,12,38,38,2,36,26,6,11,6,6,2,1,1,1,3,2,6
2024,6,5,8,1,7,10,3,6,9,5,37,30,7,37,37,1,36,21,6,7,1,8,1,2,2,2,6,5,3
2024,6,5,9,1,8,12,6,1,15,4,40,32,8,40,40,3,37,18,2,6,6,3,3,4,4,4,6,6,6
2024,6,5,10,1,12,8,2,6,15,5,35,23,12,35,35,2,33,27,6,7,6,8,2,1,1,1,1,4,2
2024,6,5,11,1,5,12,3,1,7,2,26,21,5,26,26,1,25,12,4,5,1,4,1,3,3,3,2,6,3
2024,6,6,0,1,8,8,2,6,16,4,39,31,8,39,39,5,34,27,5,8,3,10,5,4,4,4,2,4,2
2024,6,6,1,1,6,2,6,5,14,5,32,26,6,32,32,5,27,22,3,6,3,6,5,1,1,1,2,1,6
2024,6,6,2,1,7,12,5,6,18,4,45,38,7,45,45,2,43,25,1,10,6,12,2,6,6,6,3,6,5
2024,6,6,3,1,4,4,2,2,18,6,34,30,4,34,34,5,29,22,2,11,2,7,5,2,2,2,6,2,2
2024,6,6,4,1,8,12,6,6,15,6,44,36,8,44,44,1,43,23,2,8,6,8,1,3,3,3,6,6,6
2024,6,6,5,1,8,12,2,5,18,6,44,36,8,44,44,3,41,26,3,10,5,9,3,4,4,4,6,6,2
2024,6,6,6,1,9,2,3,3,12,4,36,27,9,36,36,1,35,21,6,8,3,7,1,5,5,5,6,1,3
2024,6,6,7,1,6,8,2,3,17,4,34,28,6,34,34,5,29,21,1,7,5,6,5,1,1,1,6,4,2
2024,6,6,8,1,6,6,1,5,12,3,31,25,6,31,31,6,25,21,4,4,2,6,6,1,1,1,5,3,1
2024,6,6,9,1,4,12,3,1,13,2,32,28,4,32,32,6,26,17,3,6,1,5,6,1,1,1,5,6,3
2024,6,6,10,1,7,10,2,2,15,6,40,33,7,40,40,2,38,21,4,10,3,6,2,6,6,6,6,5,2
2024,6,6,11,1,6,10,2,5,20,5,39,33,6,39,39,6,33,26,1,9,5,9,6,4,4,4,2,5,2
2024,6,7,0,1,9,4,3,6,16,2,35,26,9,35,35,2,33,25,3,8,6,12,2,3,3,3,2,2,3
2024,6,7,1,1,7,6,3,6,9,1,32,25,7,32,32,4,28,21,6,4,1,9,4,2,2,2,3,3,3
2024,6,7,2,1,2,10,1,5,16,5,38,36,2,38,38,6,32,22,1,9,1,9,6,6,6,6,4,5,1
2024,6,7,3,1,5,10,6,3,13,1,38,33,5,38,38,2,36,17,1,7,4,9,2,5,5,5,5,5,6
2024,6,7,4,1,5,8,1,4,14,4,34,29,5,34,34,3,31,22,4,10,1,10,3,4,4,4,3,4,1
2024,6,7,5,1,11,10,6,5,12,1,42,31,11,42,42,2,40,22,5,4,6,8,2,6,6,6,3,5,6
2024,6,7,6,1,6,10,2,5,15,6,34,28,6,34,34,2,32,22,2,9,4,8,2,1,1,1,4,5,2
2024,6,7,7,1,10,12,1,6,12,1,40,30,10,40,40,6,34,24,6,2,4,7,6,4,4,4,5,6,1
2024,6,7,8,1,9,10,2,2,13,2,30,21,9,30,30,6,24,20,5,3,4,3,6,2,2,2,1,5,2
2024,6,7,9,1,8,4,2,2,16,3,34,26,8,34,34,4,30,20,2,6,6,5,4,5,5,5,5,2,2
2024,6,7,10,1,5,8,2,5,13,4,31,26,5,31,31,3,28,19,1,6,4,7,3,1,1,1,5,4,2
2024,6,7,11,1,3,8,5,3,13,5,37,34,3,37,37,5,32,18,2,7,1,5,5,5,5,5,5,4,5
2024,6,8,0,2,9,10,4,2,18,5,44,35,9,44,44,4,40,25,5,10,4,7,4,4,4,4,6,5,4
2024,6,8,1,2,6,2,4,5,18,5,35,29,6,35,35,5,30,24,1,8,5,8,5,3,3,3,3,1,4
2024,6,8,2,2,5,6,1,3,10,4,29,24,5,29,29,1,28,15,2,6,3,5,1,5,5,5,5,3,1
2024,6,8,3,2,7,10,3,6,18,1,37,30,7,37,37,6,31,26,2,7,5,12,6,1,1,1,2,5,3
2024,6,8,4,2,8,8,3,5,13,2,41,33,8,41,41,6,35,23,5,4,3,7,6,5,5,5,6,4,3
2024,6,8,5,2,7,8,4,4,19,6,37,30,7,37,37,5,32,25,2,9,5,7,5,2,2,2,2,4,4
2024,6,8,6,2,5,6,1,4,18,6,36,31,5,36,36,6,30,25,3,10,2,8,6,5,5,5,2,3,1
2024,6,8,7,2,3,2,1,3,10,5,22,19,3,22,22,3,19,15,2,6,1,4,3,3,3,3,2,1,1
2024,6,8,8,2,10,2,1,2,11,3,27,17,10,27,27,2,25,18,5,4,5,3,2,2,2,2,5,1,1
2024,6,8,9,2,7,10,3,3,14,5,32,25,7,32,32,1,31,18,1,7,6,5,1,1,1,1,5,5,3
2024,6,8,10,2,9,12,5,2,11,3,36,27,9,36,36,3,33,18,5,4,4,3,3,3,3,3,4,6,5
2024,6,8,11,2,4,8,6,3,13,4,29,25,4,29,29,4,25,17,1,6,3,5,4,1,1,1,1,4,6
2024,6,9,0,2,8,2,6,1,17,6,36,28,8,36,36,3,33,21,3,9,5,4,3,5,5,5,3,1,6
2024,6,9,1,2,5,6,2,5,14,3,33,28,5,33,33,3,30,20,1,7,4,9,3,5,5,5,3,3,2
2024,6,9,2,2,5,4,3,1,18,5,36,31,5,36,36,6,30,21,2,9,3,5,6,5,5,5,5,2,3
2024,6,9,3,2,7,6,5,3,11,4,31,24,7,31,31,4,27,20,6,6,1,5,4,1,1,1,2,3,5
2024,6,9,4,2,7,8,1,6,14,2,35,28,7,35,35,5,30,23,3,5,4,9,5,4,4,4,3,4,1
2024,6,9,5,2,8,4,3,4,11,1,35,27,8,35,35,1,34,20,5,7,3,10,1,6,6,6,4,2,3
2024,6,9,6,2,8,6,4,3,20,6,36,28,8,36,36,5,31,25,2,9,6,6,5,1,1,1,3,3,4
2024,6,9,7,2,6,12,6,6,9,3,41,35,6,41,41,2,39,20,5,6,1,9,2,3,3,3,6,6,6
2024,6,9,8,2,8,2,6,6,14,6,40,32,8,40,40,3,37,26,6,9,2,9,3,4,4,4,3,1,6
2024,6,9,9,2,6,6,1,4,11,2,31,25,6,31,31,5,26,20,5,5,1,7,5,5,5,5,2,3,1
2024,6,9,10,2,6,10,6,6,7,1,30,24,6,30,30,3,27,17,4,2,2,7,3,1,1,1,1,5,6
2024,6,9,11,2,9,6,4,1,17,6,34,25,9,34,34,2,32,23,5,11,4,6,2,3,3,3,1,3,4
2024,6,10,0,2,7,2,1,5,14,5,29,22,7,29,29,3,26,24,5,9,2,9,3,1,1,1,2,1,1
2024,6,10,1,2,11,8,4,3,17,6,40,29,11,40,40,4,36,26,6,8,5,5,4,4,4,4,2,4,4
2024,6,10,2,2,3,2,4,3,14,5,34,31,3,34,34,2,32,18,1,10,2,8,2,5,5,5,6,1,4
2024,6,10,3,2,6,6,5,5,10,3,34,28,6,34,34,4,30,20,5,5,1,7,4,5,5,5,1,3,5
2024,6,10,4,2,6,6,2,3,9,1,29,23,6,29,29,2,27,16,4,5,2,7,2,4,4,4,4,3,2
2024,6,10,5,2,11,4,5,2,12,5,30,19,11,30,30,1,29,20,6,6,5,3,1,2,2,2,1,2,5
2024,6,10,6,2,6,10,1,4,18,6,33,27,6,33,33,6,27,24,2,8,4,6,6,1,1,1,2,5,1
2024,6,10,7,2,8,8,2,2,19,6,39,31,8,39,39,2,37,23,2,11,6,7,2,5,5,5,5,4,2
2024,6,10,8,2,5,4,2,1,9,1,18,13,5,18,18,1,17,12,2,5,3,5,1,1,1,1,1,2,2
2024,6,10,9,2,5,4,5,1,17,6,37,32,5,37,37,4,33,20,2,10,3,5,4,5,5,5,5,2,5
2024,6,10,10,2,6,2,6,3,16,2,36,30,6,36,36,5,31,22,3,8,3,9,5,6,6,6,1,1,6
2024,6,10,11,2,7,12,1,4,13,1,30,23,7,30,30,2,28,19,2,6,5,9,2,1,1,1,3,6,1
2024,6,11,0,2,8,8,5,5,11,3,36,28,8,36,36,2,34,20,4,5,4,7,2,6,6,6,1,4,5
2024,6,11,1,2,3,6,2,1,14,4,28,25,3,28,28,6,22,16,1,6,2,3,6,2,2,2,5,3,2
2024,6,11,2,2,6,6,4,4,14,4,35,29,6,35,35,6,29,21,3,5,3,5,6,4,4,4,3,3,4
2024,6,11,3,2,7,8,5,2,14,3,36,29,7,36,36,3,33,19,3,7,4,6,3,2,2,2,6,4,5
2024,6,11,4,2,8,10,3,3,15,6,37,29,8,37,37,6,31,24,6,7,2,4,6,1,1,1,4,5,3
2024,6,11,5,2,5,6,6,5,14,2,35,30,5,35,35,5,30,23,4,8,1,11,5,1,1,1,2,3,6
2024,6,11,6,2,6,2,3,4,11,1,26,20,6,26,26,3,23,17,2,4,4,7,3,4,4,4,1,1,3
2024,6,11,7,2,10,2,5,4,17,6,38,28,10,38,38,2,36,27,6,11,4,9,2,4,4,4,1,1,5
2024,6,11,8,2,9,10,3,3,13,3,39,30,9,39,39,4,35,20,4,4,5,4,4,5,5,5,6,5,3
2024,6,11,9,2,5,8,4,6,12,5,33,28,5,33,33,1,32,19,1,7,4,8,1,3,3,3,3,4,4
2024,6,11,10,2,11,12,4,6,14,3,42,31,11,42,42,2,40,25,5,6,6,9,2,4,4,4,3,6,4
2024,6,11,11,2,11,4,1,5,17,3,38,27,11,38,38,4,34,27,5,7,6,9,4,2,2,2,6,2,1
2024,6,12,0,2,8,12,4,2,18,5,41,33,8,41,41,6,35,23,3,7,5,4,6,5,5,5,3,6,4
2024,6,12,1,2,7,2,4,2,13,5,35,28,7,35,35,2,33,19,4,8,3,5,2,6,6,6,5,1,4
2024,6,12,2,2,3,6,3,5,11,5,35,32,3,35,35,3,32,18,2,7,1,7,3,6,6,6,5,3,3
2024,6,12,3,2,7,8,2,4,8,2,32,25,7,32,32,3,29,17,5,3,2,5,3,5,5,5,4,4,2
2024,6,12,4,2,7,4,5,3,19,6,40,33,7,40,40,3,37,25,3,12,4,9,3,5,5,5,3,2,5
2024,6,12,5,2,11,6,4,1,15,2,38,27,11,38,38,6,32,22,6,4,5,3,6,6,6,6,3,3,4
2024,6,12,6,2,10,8,4,5,10,4,34,24,10,34,34,1,33,21,6,5,4,6,1,2,2,2,3,4,4
2024,6,12,7,2,12,10,1,1,15,3,34,22,12,34,34,2,32,22,6,7,6,5,2,5,5,5,1,5,1
2024,6,12,8,2,6,10,1,2,13,3,31,25,6,31,31,2,29,17,2,7,4,6,2,2,2,2,6,5,1
2024,6,12,9,2,12,10,1,5,20,6,47,35,12,47,47,5,42,31,6,9,6,8,5,6,6,6,4,5,1
2024,6,12,10,2,7,8,6,2,13,2,31,24,7,31,31,4,27,16,1,3,6,3,4,3,3,3,2,4,6
2024,6,12,11,2,4,12,6,5,15,5,43,39,4,43,43,3,40,22,2,10,2,10,3,6,6,6,3,6,6
2024,6,13,0,2,8,10,2,5,15,3,40,32,8,40,40,6,34,24,4,5,4,7,6,5,5,5,4,5,2
2024,6,13,1,2,2,4,5,6,12,4,32,30,2,32,32,5,27,19,1,6,1,8,5,5,5,5,1,2,5
2024,6,13,2,2,5,10,3,3,7,1,30,25,5,30,30,1,29,14,4,5,1,7,1,2,2,2,6,5,3
2024,6,13,3,2,8,10,2,6,14,6,38,30,8,38,38,2,36,24,4,8,4,8,2,5,5,5,2,5,2
2024,6,13,4,2,10,2,3,1,19,2,33,23,10,33,33,5,28,24,4,8,6,7,5,3,3,3,2,1,3
2024,6,13,5,2,9,2,1,3,16,5,37,28,9,37,37,3,34,24,5,9,4,7,3,6,6,6,5,1,1
2024,6,13,6,2,5,6,1,2,12,5,25,20,5,25,25,1,24,15,1,7,4,4,1,2,2,2,4,3,1
2024,6,13,7,2,7,12,1,3,11,3,31,24,7,31,31,4,27,18,4,4,3,4,4,1,1,1,5,6,1
2024,6,13,8,2,7,10,2,2,12,4,28,21,7,28,28,2,26,17,3,6,4,4,2,2,2,2,2,5,2
2024,6,13,9,2,8,12,3,2,18,5,38,30,8,38,38,4,34,22,2,8,6,5,4,2,2,2,5,6,3
2024,6,13,10,2,8,2,4,3,14,5,33,25,8,33,33,5,28,23,6,7,2,5,5,2,2,2,3,1,4
2024,6,13,11,2,4,8,5,5,8,1,30,26,4,30,30,1,29,14,1,4,3,8,1,3,3,3,4,4,5
2024,6,14,0,2,8,12,6,1,15,5,42,34,8,42,42,5,37,22,6,8,2,4,5,4,4,4,4,6,6
2024,6,14,1,2,9,2,1,2,15,3,30,21,9,30,30,4,26,21,4,6,5,5,4,1,1,1,6,1,1
2024,6,14,2,2,6,6,4,6,14,6,38,32,6,38,38,2,36,24,4,10,2,10,2,6,6,6,1,3,4
2024,6,14,3,2,9,10,4,3,9,1,30,21,9,30,30,2,28,16,4,2,5,4,2,2,2,2,3,5,4
2024,6,14,4,2,8,6,5,2,14,6,37,29,8,37,37,1,36,20,4,9,4,5,1,3,3,3,6,3,5
2024,6,14,5,2,5,8,1,4,12,2,31,26,5,31,31,4,27,20,4,7,1,9,4,3,3,3,3,4,1
2024,6,14,6,2,7,12,1,3,12,3,31,24,7,31,31,2,29,19,4,7,3,7,2,1,1,1,4,6,1
2024,6,14,7,2,8,8,2,2,14,5,32,24,8,32,32,1,31,19,3,8,5,5,1,5,5,5,2,4,2
2024,6,14,8,2,7,2,3,5,9,2,29,22,7,29,29,2,27,17,3,3,4,6,2,2,2,2,6,1,3
2024,6,14,9,2,5,4,1,3,12,3,29,24,5,29,29,3,26,18,3,7,2,7,3,5,5,5,3,2,1
2024,6,14,10,2,9,2,4,2,20,5,41,32,9,41,41,4,37,25,3,10,6,7,4,6,6,6,5,1,4
2024,6,14,11,2,7,2,5,4,14,6,39,32,7,39,39,3,36,23,5,9,2,7,3,6,6,6,4,1,5
2024,6,15,0,3,6,10,6,2,14,6,37,31,6,37,37,6,31,21,5,7,1,3,6,1,1,1,4,5,6
2024,6,15,1,3,3,2,2,4,7,3,23,20,3,23,23,2,21,13,2,4,1,5,2,2,2,2,5,1,2
2024,6,15,2,3,3,12,2,5,7,4,32,29,3,32,32,1,31,14,2,5,1,6,1,4,4,4,6,6,2
2024,6,15,3,3,7,6,2,4,13,4,28,21,7,28,28,1,27,19,2,7,5,7,1,1,1,1,3,3,2
2024,6,15,4,3,7,8,5,4,16,3,39,32,7,39,39,4,35,24,4,9,3,10,4,2,2,2,4,4,5
2024,6,15,5,3,7,6,6,1,17,6,35,28,7,35,35,5,30,22,4,9,3,4,5,3,3,3,1,3,6
2024,6,15,6,3,6,12,4,6,15,4,44,38,6,44,44,1,43,23,2,10,4,12,1,6,6,6,5,6,4
2024,6,15,7,3,5,8,2,3,11,3,29,24,5,29,29,1,28,17,3,8,2,8,1,1,1,1,5,4,2
2024,6,15,8,3,7,2,4,4,8,1,32,25,7,32,32,3,29,18,6,4,1,7,3,3,3,3,6,1,4
2024,6,15,9,3,6,12,5,1,16,4,40,34,6,40,40,3,37,18,1,8,5,5,3,5,5,5,6,6,5
2024,6,15,10,3,7,8,1,2,18,5,40,33,7,40,40,4,36,23,3,10,4,7,4,6,6,6,6,4,1
2024,6,15,11,3,7,2,3,6,13,1,35,28,7,35,35,2,33,20,1,5,6,10,2,5,5,5,6,1,3
2024,6,16,0,3,7,6,5,5,17,4,36,29,7,36,36,5,31,23,1,6,6,7,5,4,4,4,1,3,5
2024,6,16,1,3,9,2,6,5,18,4,45,36,9,45,45,5,40,27,4,8,5,9,5,6,6,6,5,1,6
2024,6,16,2,3,7,12,5,2,14,2,40,33,7,40,40,5,35,21,5,7,2,7,5,5,5,5,3,6,5
2024,6,16,3,3,11,4,2,6,18,6,37,26,11,37,37,1,36,30,6,12,5,12,1,1,1,1,2,2,2
2024,6,16,4,3,4,12,4,3,11,4,30,26,4,30,30,2,28,15,1,6,3,5,2,3,3,3,2,6,4
2024,6,16,5,3,7,4,5,6,15,4,37,30,7,37,37,2,35,22,1,7,6,9,2,4,4,4,4,2,5
2024,6,16,6,3,7,12,6,3,15,6,38,31,7,38,38,4,34,22,4,8,3,5,4,3,3,3,1,6,6
2024,6,16,7,3,7,12,1,2,12,3,33,26,7,33,33,3,30,20,6,8,1,7,3,1,1,1,5,6,1
2024,6,16,8,3,4,8,1,3,10,2,27,23,4,27,27,5,22,15,2,3,2,4,5,1,1,1,6,4,1
2024,6,16,9,3,2,8,1,4,12,4,31,29,2,31,31,3,28,17,1,8,1,8,3,6,6,6,3,4,1
2024,6,16,10,3,11,12,4,6,21,6,51,40,11,51,51,6,45,32,5,9,6,9,6,4,4,4,5,6,4
2024,6,16,11,3,7,12,2,4,13,4,32,25,7,32,32,3,29,20,3,6,4,6,3,3,3,3,1,6,2
2024,6,17,0,3,10,4,5,4,19,4,40,30,10,40,40,6,34,28,5,8,5,8,6,1,1,1,4,2,5
2024,6,17,1,3,3,8,5,2,15,3,36,33,3,36,36,6,30,19,2,8,1,7,6,2,2,2,6,4,5
2024,6,17,2,3,7,8,5,6,18,5,41,34,7,41,41,6,35,25,1,6,6,7,6,3,3,3,4,4,5
2024,6,17,3,3,5,6,5,6,15,2,40,35,5,40,40,6,34,25,4,8,1,12,6,2,2,2,5,3,5
2024,6,17,4,3,5,2,2,2,11,6,24,19,5,24,24,2,22,16,3,7,2,3,2,4,4,4,1,1,2
2024,6,17,5,3,7,10,6,5,21,6,44,37,7,44,44,4,40,28,2,12,5,11,4,2,2,2,3,5,6
2024,6,17,6,3,2,8,3,6,12,3,33,31,2,33,33,3,30,19,1,8,1,11,3,2,2,2,5,4,3
2024,6,17,7,3,4,6,1,1,14,1,31,27,4,31,31,5,26,17,2,7,2,7,5,5,5,5,5,3,1
2024,6,17,8,3,5,6,4,4,20,6,39,34,5,39,39,6,33,26,2,11,3,9,6,5,5,5,1,3,4
2024,6,17,9,3,7,4,6,1,15,2,39,32,7,39,39,6,33,21,5,7,2,6,6,4,4,4,6,2,6
2024,6,17,10,3,4,8,2,1,16,6,28,24,4,28,28,5,23,18,1,8,3,3,5,1,1,1,3,4,2
2024,6,17,11,3,6,8,6,2,9,2,32,26,6,32,32,1,31,12,1,3,5,3,1,6,6,6,4,4,6
2024,6,18,0,3,7,2,2,6,12,4,36,29,7,36,36,5,31,24,6,6,1,8,5,4,4,4,5,1,2
2024,6,18,1,3,9,2,3,4,14,2,30,21,9,30,30,5,25,21,3,3,6,5,5,3,3,3,2,1,3
2024,6,18,2,3,10,2,4,4,16,5,37,27,10,37,37,3,34,25,5,8,5,7,3,3,3,3,4,1,4
