Year,Month,Day,Hour,Week,Tapioca Pearls (Boba),Lychee Jelly,Aloe Vera Bits,Grass Jelly,Fresh Milk,Red Beans,Cups (Regular),Straws (Regular),Straws (Jumbo),Napkins (Regular),To-Go Bags (Small),Lids (Dome),Lids (Flat),Condiment Station Supplies,Taro,Matcha,Brown Sugar,Black Sugar,Strawberry Milk Cream,Mango Milk Cream,Sago,Crystal Jelly,Jasmine Green Tea Leaves,Passion Fruit Tea Leaves,Oolong Tea Leaves
2024,9,13,8,15,9,4,6,5,16,2,43,34,9,43,43,5,38,25,4,6,5,9,5,5,5,5,5,2,6
2024,9,13,9,15,9,2,2,4,16,2,30,21,9,30,30,4,26,24,4,7,5,9,4,2,2,2,1,1,2
2024,9,13,10,15,3,6,2,6,13,2,32,29,3,32,32,6,26,20,1,5,2,9,6,5,5,5,2,3,2
2024,9,13,11,15,8,8,2,5,16,4,37,29,8,37,37,1,36,23,2,9,6,10,1,3,3,3,5,4,2
2024,9,14,0,16,9,4,1,5,14,3,33,24,9,33,33,2,31,25,6,9,3,11,2,3,3,3,2,2,1
2024,9,14,1,16,5,10,3,1,16,4,36,31,5,36,36,6,30,19,2,7,3,4,6,6,6,6,3,5,3
2024,9,14,2,16,5,6,3,2,10,1,24,19,5,24,24,2,22,13,1,4,4,5,2,2,2,2,3,3,3
2024,9,14,3,16,8,10,3,1,18,2,39,31,8,39,39,4,35,21,2,8,6,7,4,4,4,4,6,5,3
2024,9,14,4,16,9,8,2,5,17,3,42,33,9,42,42,3,39,26,4,9,5,11,3,5,5,5,5,4,2
2024,9,14,5,16,5,6,1,2,10,2,23,18,5,23,23,4,19,15,3,4,2,4,4,2,2,2,2,3,1
2024,9,14,6,16,9,2,4,4,23,6,44,35,9,44,44,6,38,30,3,11,6,9,6,5,5,5,4,1,4
2024,9,14,7,16,7,12,1,3,16,2,33,26,7,33,33,2,31,20,1,8,6,9,2,3,3,3,3,6,1
2024,9,14,8,16,6,4,5,6,17,1,38,32,6,38,38,6,32,24,1,6,5,11,6,2,2,2,5,2,5
2024,9,14,9,16,10,12,4,6,21,5,50,40,10,50,50,6,44,32,5,10,5,11,6,6,6,6,2,6,4
2024,9,14,10,16,10,6,3,4,15,2,37,27,10,37,37,2,35,24,5,8,5,10,2,4,4,4,3,3,3
2024,9,14,11,16,5,6,3,1,12,3,30,25,5,30,30,4,26,17,4,7,1,5,4,2,2,2,5,3,3
2024,9,15,0,16,5,10,1,1,7,2,22,17,5,22,22,1,21,11,3,4,2,3,1,2,2,2,3,5,1
2024,9,15,1,16,7,12,4,4,21,5,44,37,7,44,44,5,39,27,2,11,5,10,5,4,4,4,3,6,4
2024,9,15,2,16,7,6,6,5,21,6,48,41,7,48,48,6,42,28,2,10,5,9,6,6,6,6,5,3,6
2024,9,15,3,16,7,10,1,5,14,5,37,30,7,37,37,3,34,23,4,8,3,8,3,4,4,4,4,5,1
2024,9,15,4,16,4,8,1,2,15,4,31,27,4,31,31,5,26,20,3,9,1,7,5,5,5,5,1,4,1
2024,9,15,5,16,7,2,1,5,11,1,34,27,7,34,34,2,32,21,5,7,2,11,2,6,6,6,5,1,1
2024,9,15,6,16,11,8,5,6,17,6,48,37,11,48,48,2,46,29,6,10,5,10,2,4,4,4,6,4,5
2024,9,15,7,16,7,8,4,6,18,5,38,31,7,38,38,2,36,26,2,11,5,12,2,2,2,2,2,4,4
2024,9,15,8,16,11,2,6,2,15,1,36,25,11,36,36,3,33,22,5,6,6,7,3,2,2,2,5,1,6
2024,9,15,9,16,9,8,1,5,9,2,35,26,9,35,35,2,33,20,6,4,3,7,2,4,4,4,6,4,1
2024,9,15,10,16,8,6,5,6,16,3,39,31,8,39,39,2,37,25,3,9,5,12,2,1,1,1,5,3,5
2024,9,15,11,16,5,2,5,1,14,1,29,24,5,29,29,6,23,17,2,5,3,5,6,1,1,1,5,1,5
2024,9,16,0,16,4,10,2,5,19,6,41,37,4,41,41,4,37,25,1,12,3,11,4,3,3,3,6,5,2
2024,9,16,1,16,6,8,4,5,10,5,38,32,6,38,38,1,37,19,4,7,2,7,1,5,5,5,6,4,4
2024,9,16,2,16,8,8,5,3,18,4,43,35,8,43,43,5,38,25,4,9,4,8,5,6,6,6,3,4,5
2024,9,16,3,16,4,10,4,1,12,5,33,29,4,33,33,4,29,16,3,7,1,3,4,3,3,3,5,5,4
2024,9,16,4,16,11,10,4,1,17,4,41,30,11,41,41,6,35,24,6,6,5,3,6,5,5,5,3,5,4
2024,9,16,5,16,7,2,1,1,10,4,25,18,7,25,25,4,21,17,6,5,1,2,4,4,4,4,2,1,1
2024,9,16,6,16,9,10,3,1,11,1,34,25,9,34,34,5,29,18,6,3,3,3,5,2,2,2,6,5,3
2024,9,16,7,16,7,12,6,6,15,5,45,38,7,45,45,4,41,25,4,8,3,9,4,3,3,3,5,6,6
2024,9,16,8,16,8,6,4,1,14,4,31,23,8,31,31,3,28,19,4,7,4,4,3,4,4,4,1,3,4
2024,9,16,9,16,4,8,3,5,17,6,38,34,4,38,38,6,32,24,2,9,2,8,6,2,2,2,5,4,3
2024,9,16,10,16,4,10,4,2,13,1,31,27,4,31,31,4,27,16,1,6,3,7,4,1,1,1,5,5,4
2024,9,16,11,16,7,6,3,3,13,2,30,23,7,30,30,1,29,19,3,8,4,9,1,3,3,3,2,3,3
2024,9,17,0,16,8,8,4,3,16,6,40,32,8,40,40,4,36,23,4,8,4,5,4,3,3,3,6,4,4
2024,9,17,1,16,6,12,1,6,15,6,34,28,6,34,34,1,33,22,1,9,5,9,1,2,2,2,3,6,1
2024,9,17,2,16,5,8,3,6,11,2,36,31,5,36,36,2,34,20,3,7,2,11,2,6,6,6,3,4,3
2024,9,17,3,16,10,4,1,3,12,2,33,23,10,33,33,2,31,20,5,5,5,6,2,5,5,5,5,2,1
2024,9,17,4,16,7,4,5,6,11,1,36,29,7,36,36,1,35,21,4,7,3,12,1,5,5,5,3,2,5
2024,9,17,5,16,8,4,1,2,11,2,27,19,8,27,27,1,26,19,6,8,2,8,1,1,1,1,4,2,1
2024,9,17,6,16,11,12,4,4,17,6,42,31,11,42,42,1,41,26,5,10,6,8,1,4,4,4,2,6,4
2024,9,17,7,16,7,10,6,5,18,2,44,37,7,44,44,6,38,24,1,6,6,9,6,5,5,5,4,5,6
2024,9,17,8,16,6,10,3,6,14,4,33,27,6,33,33,1,32,21,1,8,5,10,1,3,3,3,1,5,3
2024,9,17,9,16,4,10,6,1,8,4,30,26,4,30,30,1,29,11,2,5,2,2,1,5,5,5,3,5,6
2024,9,17,10,16,9,8,5,5,13,4,40,31,9,40,40,1,39,24,6,9,3,10,1,5,5,5,2,4,5
2024,9,17,11,16,8,12,4,5,16,3,41,33,8,41,41,5,36,26,5,8,3,10,5,3,3,3,2,6,4
2024,9,18,0,16,6,12,1,2,11,4,29,23,6,29,29,3,26,16,3,5,3,3,3,2,2,2,4,6,1
2024,9,18,1,16,8,8,4,5,17,4,47,39,8,47,47,6,41,28,6,9,2,10,6,5,5,5,6,4,4
2024,9,18,2,16,10,8,2,1,17,4,40,30,10,40,40,3,37,23,5,9,5,6,3,5,5,5,6,4,2
2024,9,18,3,16,8,12,3,1,13,4,36,28,8,36,36,1,35,18,4,8,4,5,1,3,3,3,6,6,3
2024,9,18,4,16,10,6,1,2,12,2,31,21,10,31,31,1,30,20,6,7,4,7,1,3,3,3,4,3,1
2024,9,18,5,16,8,4,5,6,14,2,40,32,8,40,40,4,36,23,3,5,5,9,4,4,4,4,6,2,5
2024,9,18,6,16,6,12,6,4,18,6,41,35,6,41,41,3,38,23,1,10,5,8,3,1,1,1,5,6,6
2024,9,18,7,16,5,8,3,4,19,6,40,35,5,40,40,6,34,27,4,12,1,10,6,1,1,1,5,4,3
2024,9,18,8,16,11,4,4,5,13,2,39,28,11,39,39,4,35,23,5,3,6,6,4,4,4,4,6,2,4
2024,9,18,9,16,4,6,5,2,20,6,37,33,4,37,37,6,31,24,2,12,2,8,6,1,1,1,4,3,5
2024,9,18,10,16,6,4,5,2,12,2,31,25,6,31,31,1,30,17,3,8,3,8,1,2,2,2,5,2,5
2024,9,18,11,16,9,12,1,6,13,3,38,29,9,38,38,1,37,25,6,9,3,12,1,4,4,4,2,6,1
2024,9,19,0,16,7,6,5,6,7,1,34,27,7,34,34,1,33,18,5,4,2,9,1,5,5,5,3,3,5
2024,9,19,1,16,10,10,5,6,16,3,44,34,10,44,44,6,38,27,5,5,5,8,6,6,6,6,1,5,5
2024,9,19,2,16,7,12,5,4,16,1,42,35,7,42,42,4,38,22,2,7,5,10,4,4,4,4,5,6,5
2024,9,19,3,16,8,4,5,5,9,2,35,27,8,35,35,3,32,19,5,3,3,6,3,5,5,5,4,2,5
2024,9,19,4,16,7,6,2,6,12,4,32,25,7,32,32,1,31,20,2,6,5,8,1,2,2,2,5,3,2
2024,9,19,5,16,6,2,4,1,14,6,25,19,6,25,25,1,24,16,1,8,5,3,1,2,2,2,2,1,4
2024,9,19,6,16,5,6,4,3,16,5,37,32,5,37,37,4,33,23,4,11,1,9,4,5,5,5,2,3,4
2024,9,19,7,16,11,8,2,2,22,4,41,30,11,41,41,6,35,29,5,10,6,8,6,4,4,4,2,4,2
2024,9,19,8,16,9,12,1,1,18,5,38,29,9,38,38,2,36,22,3,10,6,6,2,4,4,4,5,6,1
2024,9,19,9,16,10,8,1,5,16,6,41,31,10,41,41,4,37,26,5,7,5,6,4,5,5,5,5,4,1
2024,9,19,10,16,9,4,2,5,19,5,40,31,9,40,40,6,34,28,4,8,5,8,6,6,6,6,2,2,2
2024,9,19,11,16,4,6,5,4,10,3,29,25,4,29,29,3,26,16,2,5,2,6,3,3,3,3,2,3,5
2024,9,20,0,16,6,2,4,4,18,1,36,30,6,36,36,6,30,23,1,7,5,10,6,3,3,3,5,1,4
2024,9,20,1,16,9,10,6,2,15,3,39,30,9,39,39,3,36,20,3,6,6,5,3,5,5,5,3,5,6
2024,9,20,2,16,7,8,6,5,20,4,41,34,7,41,41,6,35,27,2,9,5,10,6,3,3,3,1,4,6
2024,9,20,3,16,11,4,1,5,14,1,39,28,11,39,39,4,35,24,5,4,6,8,4,6,6,6,6,2,1
2024,9,20,4,16,6,2,3,3,16,6,34,28,6,34,34,3,31,23,4,11,2,8,3,2,2,2,5,1,3
2024,9,20,5,16,9,6,1,6,16,3,39,30,9,39,39,5,34,28,6,8,3,11,5,6,6,6,1,3,1
2024,9,20,6,16,9,12,6,2,13,1,41,32,9,41,41,4,37,20,5,5,4,6,4,3,3,3,6,6,6
2024,9,20,7,16,8,12,4,3,12,3,40,32,8,40,40,5,35,20,5,4,3,4,5,6,6,6,4,6,4
2024,9,20,8,16,12,10,6,1,16,4,43,31,12,43,43,4,39,23,6,6,6,3,4,4,4,4,5,5,6
2024,9,20,9,16,3,2,6,1,11,2,28,25,3,28,28,6,22,13,1,3,2,2,6,6,6,6,2,1,6
2024,9,20,10,16,5,10,4,5,15,6,34,29,5,34,34,4,30,21,1,7,4,6,4,3,3,3,1,5,4
2024,9,20,11,16,5,12,3,1,12,1,31,26,5,31,31,4,27,15,2,5,3,5,4,4,4,4,3,6,3
2024,9,21,0,17,11,4,4,5,11,1,32,21,11,32,32,4,28,22,6,2,5,6,4,1,1,1,3,2,4
2024,9,21,1,17,9,6,2,2,18,5,35,26,9,35,35,4,31,24,4,9,5,6,4,5,5,5,1,3,2
2024,9,21,2,17,5,12,6,5,11,4,36,31,5,36,36,1,35,20,4,9,1,10,1,1,1,1,3,6,6
2024,9,21,3,17,6,6,4,3,20,5,35,29,6,35,35,6,29,24,1,9,5,7,6,1,1,1,3,3,4
2024,9,21,4,17,8,6,1,2,19,4,35,27,8,35,35,4,31,24,3,10,5,8,4,1,1,1,6,3,1
2024,9,21,5,17,7,4,5,3,16,2,42,35,7,42,42,6,36,23,4,7,3,8,6,6,6,6,6,2,5
2024,9,21,6,17,8,2,3,4,15,4,31,23,8,31,31,5,26,24,5,7,3,7,5,2,2,2,1,1,3
2024,9,21,7,17,9,12,5,6,13,1,43,34,9,43,43,1,42,22,3,6,6,11,1,5,5,5,5,6,5
2024,9,21,8,17,11,12,2,2,14,1,33,22,11,33,33,1,32,21,5,7,6,8,1,3,3,3,1,6,2
2024,9,21,9,17,3,2,3,6,11,3,29,26,3,29,29,4,25,19,2,6,1,9,4,1,1,1,5,1,3
2024,9,21,10,17,8,6,5,1,7,2,28,20,8,28,28,1,27,13,5,3,3,2,1,2,2,2,5,3,5
2024,9,21,11,17,5,4,2,5,12,1,32,27,5,32,32,4,28,20,3,6,2,10,4,5,5,5,3,2,2
2024,9,22,0,17,6,8,5,4,13,3,32,26,6,32,32,2,30,21,4,9,2,10,2,1,1,1,1,4,5
2024,9,22,1,17,4,10,5,2,9,1,26,22,4,26,26,4,22,14,3,4,1,5,4,1,1,1,1,5,5
2024,9,22,2,17,8,10,6,2,14,3,41,33,8,41,41,6,35,22,6,6,2,5,6,6,6,6,2,5,6
2024,9,22,3,17,10,12,6,1,21,6,44,34,10,44,44,5,39,26,4,10,6,5,5,3,3,3,3,6,6
2024,9,22,4,17,6,2,3,4,18,2,39,33,6,39,39,6,33,23,1,7,5,9,6,6,6,6,6,1,3
2024,9,22,5,17,6,12,6,5,13,5,41,35,6,41,41,5,36,22,4,6,2,6,5,5,5,5,2,6,6
2024,9,22,6,17,4,2,5,6,12,4,33,29,4,33,33,6,27,21,3,5,1,7,6,1,1,1,5,1,5
2024,9,22,7,17,6,6,2,2,16,5,34,28,6,34,34,2,32,21,3,11,3,8,2,3,3,3,5,3,2
2024,9,22,8,17,8,6,3,1,11,1,34,26,8,34,34,4,30,18,6,5,2,5,4,6,6,6,4,3,3
2024,9,22,9,17,7,2,5,2,14,4,33,26,7,33,33,4,29,22,6,9,1,7,4,2,2,2,3,1,5
2024,9,22,10,17,6,12,2,6,14,1,36,30,6,36,36,4,32,21,1,5,5,10,4,1,1,1,6,6,2
2024,9,22,11,17,10,4,6,6,17,4,39,29,10,39,39,4,35,27,4,7,6,9,4,3,3,3,1,2,6
2024,9,23,0,17,4,10,5,2,13,4,33,29,4,33,33,1,32,16,1,9,3,7,1,2,2,2,5,5,5
2024,9,23,1,17,7,12,6,1,16,3,39,32,7,39,39,6,33,22,5,8,2,6,6,3,3,3,2,6,6
2024,9,23,2,17,9,10,3,2,12,1,28,19,9,28,28,4,24,18,4,3,5,4,4,1,1,1,1,5,3
2024,9,23,3,17,8,2,5,5,17,2,41,33,8,41,41,3,38,24,2,8,6,11,3,5,5,5,6,1,5
2024,9,23,4,17,4,2,5,5,14,2,32,28,4,32,32,5,27,20,1,6,3,9,5,5,5,5,1,1,5
2024,9,23,5,17,10,12,4,6,13,2,41,31,10,41,41,5,36,25,6,4,4,8,5,1,1,1,5,6,4
2024,9,23,6,17,12,4,6,2,21,4,39,27,12,39,39,5,34,29,6,10,6,8,5,1,1,1,1,2,6
2024,9,23,7,17,9,6,4,5,16,3,42,33,9,42,42,4,38,25,4,7,5,9,4,5,5,5,5,3,4
2024,9,23,8,17,10,6,4,2,19,6,43,33,10,43,43,2,41,26,5,12,5,8,2,6,6,6,4,3,4
2024,9,23,9,17,8,6,2,1,13,2,34,26,8,34,34,3,31,20,6,8,2,7,3,3,3,3,6,3,2
2024,9,23,10,17,6,4,1,1,9,3,28,22,6,28,28,3,25,15,5,5,1,3,3,4,4,4,6,2,1
2024,9,23,11,17,8,8,5,6,13,6,39,31,8,39,39,2,37,25,6,9,2,9,2,2,2,2,3,4,5
2024,9,24,0,17,8,8,5,1,19,5,45,37,8,45,45,4,41,24,4,11,4,7,4,6,6,6,6,4,5
2024,9,24,1,17,7,12,5,4,13,1,37,30,7,37,37,3,34,21,4,7,3,10,3,3,3,3,2,6,5
2024,9,24,2,17,2,12,2,5,13,5,32,30,2,32,32,6,26,19,1,6,1,6,6,2,2,2,3,6,2
2024,9,24,3,17,3,10,5,3,9,4,31,28,3,31,31,2,29,13,1,5,2,4,2,2,2,2,6,5,5
2024,9,24,4,17,9,2,5,1,19,5,38,29,9,38,38,6,32,24,4,8,5,4,6,6,6,6,2,1,5
2024,9,24,5,17,8,2,4,4,23,6,39,31,8,39,39,6,33,30,3,12,5,10,6,1,1,1,3,1,4
2024,9,24,6,17,7,12,5,1,12,6,37,30,7,37,37,4,33,19,6,7,1,2,4,1,1,1,6,6,5
2024,9,24,7,17,4,2,5,6,13,4,39,35,4,39,39,5,34,22,3,7,1,9,5,5,5,5,6,1,5
2024,9,24,8,17,9,8,4,1,11,2,30,21,9,30,30,4,26,18,6,4,3,3,4,1,1,1,3,4,4
2024,9,24,9,17,7,10,3,5,13,4,37,30,7,37,37,6,31,23,5,5,2,6,6,1,1,1,5,5,3
2024,9,24,10,17,6,6,5,4,15,3,39,33,6,39,39,5,34,24,5,9,1,10,5,2,2,2,5,3,5
2024,9,24,11,17,5,6,1,1,11,1,24,19,5,24,24,5,19,16,4,5,1,5,5,1,1,1,3,3,1
2024,9,25,0,17,8,4,3,5,21,6,36,28,8,36,36,4,32,28,2,11,6,10,4,2,2,2,1,2,3
2024,9,25,1,17,7,12,1,6,15,6,34,27,7,34,34,2,32,22,1,7,6,7,2,2,2,2,3,6,1
2024,9,25,2,17,5,8,3,1,10,1,27,22,5,27,27,2,25,14,3,6,2,6,2,4,4,4,2,4,3
2024,9,25,3,17,8,2,2,2,15,2,28,20,8,28,28,4,24,20,3,6,5,6,4,3,3,3,2,1,2
2024,9,25,4,17,8,2,4,3,15,6,36,28,8,36,36,5,31,24,6,8,2,5,5,3,3,3,4,1,4
2024,9,25,5,17,6,4,2,1,10,1,27,21,6,27,27,3,24,14,3,4,3,4,3,3,3,3,6,2,2
2024,9,25,6,17,3,2,2,6,10,3,28,25,3,28,28,1,27,18,2,8,1,11,1,1,1,1,6,1,2
2024,9,25,7,17,6,12,1,6,15,6,41,35,6,41,41,3,38,24,3,9,3,9,3,4,4,4,6,6,1
2024,9,25,8,17,4,2,1,2,16,5,32,28,4,32,32,5,27,21,3,10,1,7,5,6,6,6,3,1,1
2024,9,25,9,17,7,12,2,4,16,5,35,28,7,35,35,1,34,21,1,9,6,8,1,3,3,3,3,6,2
2024,9,25,10,17,5,2,2,2,13,4,31,26,5,31,31,2,29,19,4,10,1,8,2,5,5,5,4,1,2
2024,9,25,11,17,12,6,4,6,14,5,39,27,12,39,39,1,38,26,6,7,6,8,1,5,5,5,1,3,4
2024,9,26,0,17,11,10,4,2,17,2,44,33,11,44,44,5,39,25,6,7,5,7,5,4,4,4,6,5,4
2024,9,26,1,17,6,12,3,5,13,5,38,32,6,38,38,1,37,22,4,10,2,10,1,6,6,6,1,6,3
2024,9,26,2,17,8,4,2,4,7,1,32,24,8,32,32,1,31,17,6,4,2,7,1,5,5,5,6,2,2
2024,9,26,3,17,8,10,2,4,17,1,35,27,8,35,35,4,31,23,2,7,6,10,4,1,1,1,4,5,2
2024,9,26,4,17,9,2,4,6,9,1,30,21,9,30,30,1,29,20,5,4,4,9,1,1,1,1,4,1,4
2024,9,26,5,17,3,2,1,5,7,2,21,18,3,21,21,2,19,13,1,3,2,6,2,5,5,5,1,1,1
2024,9,26,6,17,9,6,4,3,14,2,33,24,9,33,33,1,32,20,3,7,6,8,1,3,3,3,3,3,4
2024,9,26,7,17,11,10,4,6,13,3,44,33,11,44,44,3,41,25,6,5,5,8,3,5,5,5,5,5,4
2024,9,26,8,17,7,12,5,6,12,2,42,35,7,42,42,4,38,20,2,3,5,7,4,5,5,5,6,6,5
2024,9,26,9,17,2,10,4,4,13,6,31,29,2,31,31,1,30,18,1,11,1,9,1,1,1,1,3,5,4
2024,9,26,10,17,3,6,4,5,9,2,30,27,3,30,30,3,27,15,1,4,2,7,3,5,5,5,3,3,4
2024,9,26,11,17,5,10,2,2,7,2,28,23,5,28,28,2,26,13,4,4,1,4,2,6,6,6,2,5,2
2024,9,27,0,17,7,6,4,1,17,2,31,24,7,31,31,5,26,20,2,7,5,6,5,3,3,3,1,3,4
2024,9,27,1,17,6,2,5,1,14,2,26,20,6,26,26,4,22,17,2,6,4,5,4,1,1,1,2,1,5
2024,9,27,2,17,5,2,1,3,14,6,31,26,5,31,31,4,27,19,2,7,3,4,4,5,5,5,5,1,1
2024,9,27,3,17,7,8,4,5,14,5,36,29,7,36,36,1,35,23,4,10,3,10,1,1,1,1,4,4,4
2024,9,27,4,17,9,8,2,6,15,2,37,28,9,37,37,3,34,24,3,6,6,10,3,4,4,4,3,4,2
2024,9,27,5,17,4,8,3,1,13,4,26,22,4,26,26,4,22,15,1,6,3,3,4,1,1,1,3,4,3
2024,9,27,6,17,11,8,6,1,23,5,45,34,11,45,45,6,39,29,5,11,6,7,6,4,4,4,2,4,6
2024,9,27,7,17,9,4,2,4,20,6,37,28,9,37,37,5,32,30,6,12,3,10,5,2,2,2,1,2,2
2024,9,27,8,17,6,10,6,6,14,1,42,36,6,42,42,5,37,24,4,7,2,12,5,5,5,5,2,5,6
2024,9,27,9,17,6,4,2,2,14,4,26,20,6,26,26,4,22,18,2,6,4,4,4,2,2,2,2,2,2
2024,9,27,10,17,9,4,5,4,17,6,41,32,9,41,41,3,38,24,3,8,6,6,3,5,5,5,5,2,5
2024,9,27,11,17,9,6,6,4,12,4,40,31,9,40,40,2,38,20,4,5,5,5,2,6,6,6,5,3,6
2024,9,28,0,18,3,4,1,1,12,4,27,24,3,27,27,3,24,15,2,8,1,5,3,5,5,5,4,2,1
2024,9,28,1,18,10,4,3,3,15,2,34,24,10,34,34,1,33,22,4,8,6,9,1,4,4,4,3,2,3
2024,9,28,2,18,4,6,1,1,16,6,31,27,4,31,31,5,26,18,1,8,3,3,5,4,4,4,5,3,1
2024,9,28,3,18,6,10,5,2,11,1,35,29,6,35,35,6,29,18,5,4,1,5,6,4,4,4,3,5,5
2024,9,28,4,18,4,10,5,6,8,1,31,27,4,31,31,2,29,17,3,5,1,10,2,1,1,1,3,5,5
2024,9,28,5,18,4,6,2,6,12,5,30,26,4,30,30,5,25,21,3,6,1,7,5,3,3,3,1,3,2
2024,9,28,6,18,9,6,1,3,11,1,30,21,9,30,30,5,25,19,5,2,4,4,5,4,4,4,3,3,1
2024,9,28,7,18,6,6,1,3,13,4,28,22,6,28,28,3,25,19,3,7,3,6,3,1,1,1,4,3,1
2024,9,28,8,18,4,8,6,1,11,5,28,24,4,28,28,1,27,15,3,9,1,5,1,1,1,1,2,4,6
2024,9,28,9,18,8,2,6,6,20,5,44,36,8,44,44,6,38,28,2,8,6,9,6,3,3,3,6,1,6
2024,9,28,10,18,7,10,3,2,9,3,34,27,7,34,34,3,31,17,6,5,1,4,3,4,4,4,5,5,3
2024,9,28,11,18,3,2,4,5,16,6,35,32,3,35,35,5,30,23,2,10,1,9,5,3,3,3,4,1,4
2024,9,29,0,18,12,12,3,3,16,6,37,25,12,37,37,2,35,25,6,8,6,5,2,2,2,2,1,6,3
2024,9,29,1,18,4,10,4,5,12,3,31,27,4,31,31,2,29,19,2,8,2,10,2,1,1,1,2,5,4
2024,9,29,2,18,8,8,1,6,17,6,36,28,8,36,36,5,31,26,3,7,5,7,5,3,3,3,2,4,1
2024,9,29,3,18,4,12,4,2,17,3,40,36,4,40,40,6,34,21,2,9,2,8,6,4,4,4,5,6,4
2024,9,29,4,18,9,6,4,2,12,4,31,22,9,31,31,3,28,19,5,5,4,3,3,3,3,3,2,3,4
2024,9,29,5,18,8,4,2,3,15,4,33,25,8,33,33,4,29,21,3,6,5,5,4,4,4,4,4,2,2
2024,9,29,6,18,6,6,3,5,14,2,31,25,6,31,31,6,25,21,2,4,4,7,6,2,2,2,2,3,3
2024,9,29,7,18,8,10,1,6,7,1,37,29,8,37,37,1,36,19,6,4,2,9,1,6,6,6,6,5,1
2024,9,29,8,18,6,4,6,4,15,5,41,35,6,41,41,2,39,22,3,10,3,9,2,6,6,6,5,2,6
2024,9,29,9,18,4,12,5,5,14,2,39,35,4,39,39,4,35,21,2,8,2,11,4,2,2,2,5,6,5
2024,9,29,10,18,5,12,3,3,8,4,30,25,5,30,30,1,29,15,4,6,1,5,1,5,5,5,1,6,3
2024,9,29,11,18,5,10,5,4,17,5,41,36,5,41,41,4,37,24,3,11,2,10,4,1,1,1,6,5,5
2024,9,30,0,18,7,12,4,3,19,5,41,34,7,41,41,2,39,23,1,11,6,9,2,4,4,4,4,6,4
2024,9,30,1,18,11,4,2,4,9,1,28,17,11,28,28,1,27,19,6,3,5,6,1,4,4,4,1,2,2
2024,9,30,2,18,9,2,5,5,18,3,39,30,9,39,39,5,34,26,3,7,6,9,5,3,3,3,4,1,5
2024,9,30,3,18,5,10,5,6,17,2,44,39,5,44,44,5,39,24,1,8,4,12,5,4,4,4,6,5,5
2024,9,30,4,18,6,4,6,1,10,4,30,24,6,30,30,2,28,14,3,5,3,2,2,4,4,4,4,2,6
2024,9,30,5,18,10,2,5,3,18,6,43,33,10,43,43,2,41,25,4,10,6,7,2,6,6,6,6,1,5
2024,9,30,6,18,7,12,6,4,14,5,39,32,7,39,39,2,37,22,4,9,3,8,2,2,2,2,3,6,6
2024,9,30,7,18,2,8,6,1,11,3,28,26,2,28,28,5,23,13,1,5,1,3,5,4,4,4,1,4,6
2024,9,30,8,18,8,8,5,5,12,3,36,28,8,36,36,1,35,19,2,5,6,7,1,3,3,3,5,4,5
2024,9,30,9,18,10,8,3,4,20,5,39,29,10,39,39,6,33,28,4,8,6,7,6,2,2,2,2,4,3
2024,9,30,10,18,10,10,3,4,12,1,40,30,10,40,40,4,36,22,6,4,4,7,4,6,6,6,4,5,3
2024,9,30,11,18,4,6,3,6,11,4,30,26,4,30,30,3,27,19,2,6,2,8,3,1,1,1,4,3,3
